dailyVolumeETH,dailyVolumeUSD,dailyVolumeUntracked,date,id,totalLiquidityETH,totalLiquidityUSD,totalVolumeETH,totalVolumeUSD,txCount
11.443274565870162,19.21306223262764,24.47606513644457,1746835200,20218,13.169782320534981,20.987296809970108,0.0,0.0,1.0
11.987317468444724,19.70307891739774,26.29485853282648,1746748800,20217,13.137355488922806,20.895674136705306,0.0,0.0,0.9813755289952996
11.963224050208533,19.51388575280152,26.143336359686508,1746662400,20216,13.142385764249601,20.840183412260817,0.0,0.0,0.9679971760569809
9.974723323957873,17.480677775841965,17.913743476741427,1746576000,20215,13.156131968053597,20.65836137540261,0.0,0.0,0.9561684444995815
12.241543470650086,19.735671473678753,26.509499329890772,1746489600,20214,13.153957604062393,20.657890729561657,0.0,0.0,0.9462687390105423
11.851709424399992,19.361020431287766,26.049713881480926,1746403200,20213,13.155236990577338,20.663334262356656,0.0,0.0,0.9368003942878388
11.838600003501217,19.3435377258085,25.974071324145196,1746316800,20212,13.156892984814291,20.656317062469547,0.0,0.0,0.9266357995505559
11.871455073702508,19.385545622800265,25.901294751684343,1746230400,20211,13.160314074436268,20.674121778488388,0.0,0.0,0.9160590263469373
11.914804392339917,19.43544738000566,25.879709028191673,1746144000,20210,13.165848358965505,20.685029141867766,0.0,0.0,0.9068747531724777
11.91745719252151,19.436389693553004,25.816571394330417,1746057600,20209,13.168121469153325,20.684984275147507,0.0,0.0,0.8971070103402237
11.882897217902828,19.36866127447628,25.64359461365202,1745971200,20208,13.169550784553014,20.662969886688668,0.0,0.0,0.8866163165029376
10.961130656056964,18.469825960533765,25.580073225541113,1745884800,20207,13.169214896311141,20.661910876935146,0.0,0.0,0.8761830731721847
10.209947892552622,17.69888128802915,18.214790567498916,1745798400,20206,13.172786166161329,20.669725444184785,0.0,0.0,0.8644440839328766
9.967703872178943,17.46663887605433,19.26055154572135,1745712000,20205,13.17061221235735,20.660884806261475,0.0,0.0,0.8532599354915638
11.658379102290507,19.162716797807548,22.526925977862817,1745625600,20204,13.172754035964463,20.67922614908888,0.0,0.0,0.842533752413572
10.326798517253597,17.813979475728836,22.77328067234516,1745539200,20203,13.172530471224224,20.66215332707697,0.0,0.0,0.8314871574501499
10.245769491055778,17.722688918923094,18.648584103854386,1745452800,20202,13.166060382743149,20.64567193305695,0.0,0.0,0.8201252594550665
10.493929505888994,17.985054638300983,22.822065126140547,1745366400,20201,13.162597841751381,20.65624421390823,0.0,0.0,0.8094392724529544
10.38003676208381,17.794927250679496,21.31934131933796,1745280000,20200,13.163796261226283,20.637329424732155,0.0,0.0,0.7983199968151599
10.201978298553039,17.588755825903583,20.112157855791292,1745193600,20199,13.17210497288378,20.534764875743278,0.0,0.0,0.7880886014050119
9.903260380366595,17.275384477026474,24.197140852269957,1745107200,20198,13.1698072451726,20.537081348838168,0.0,0.0,0.7778604833727535
9.781668283822961,17.16121652958413,17.692730950718946,1745020800,20197,13.167140267463544,20.554935464968498,0.0,0.0,0.7686173137897506
9.8766475551582,17.246245839201027,17.82209686177002,1744934400,20196,13.167031406658054,20.53998893036478,0.0,0.0,0.7603893602047475
9.940819667389784,17.312602914770082,17.75082934959054,1744848000,20195,13.165907634143698,20.534434006603696,0.0,0.0,0.751072642406166
10.080237955840824,17.44643447814817,24.552963599299236,1744761600,20194,13.164529420617203,20.528745045779065,0.0,0.0,0.7413636031955205
10.063269985984087,17.45502482261239,23.11295268262225,1744675200,20193,13.164767631104331,20.53634632473996,0.0,0.0,0.7316088734813571
10.347896669776564,17.748915262306358,21.49243356259598,1744588800,20192,13.1653637552209,20.557254055172216,0.0,0.0,0.7216929738898051
10.637772687926752,18.018342254351815,24.249123325550666,1744502400,20191,13.169393409576804,20.54471449377599,0.0,0.0,0.7116983208354384
10.144726090865818,17.534416901342563,18.050955299126702,1744416000,20190,13.17327203506962,20.57985932053609,0.0,0.0,0.7010743148328243
10.215544806861931,17.568312234302457,19.558481276780075,1744329600,20189,13.172900864754848,20.529025912580455,0.0,0.0,0.6904183061990542
10.17117032470381,17.5224583367705,18.044783400191236,1744243200,20188,13.169848377223188,20.49817874998892,0.0,0.0,0.679930986133125
10.612659794618585,17.95462474152891,18.24435803200132,1744156800,20187,13.156680040442772,20.574385516418925,0.0,0.0,0.6697529927038821
10.167866349259516,17.501711135044708,18.942301555633826,1744070400,20186,13.160456137977516,20.45354631591927,0.0,0.0,0.6592513100113195
10.846193950891363,18.171806302870117,18.36893967876669,1743984000,20185,13.156935149916745,20.506701210790975,0.0,0.0,0.6486716450036808
10.442657911849494,17.864988975053866,18.11112892246215,1743897600,20184,13.145657688469967,20.507912468705257,0.0,0.0,0.6384917237050911
9.564228407273848,17.059942524680835,17.689756146917915,1743811200,20183,13.139464402514166,20.637046850797162,0.0,0.0,0.6290281022622872
9.887392907295,17.38435971623986,17.960829404567434,1743724800,20182,13.142229105175486,20.645499474804158,0.0,0.0,0.6193287023983755
9.90252067163472,17.395883103439303,20.865668106962033,1743638400,20181,13.139179902414416,20.643094423373327,0.0,0.0,0.6094542519977787
10.395723844039992,17.926975378814294,18.143982983391382,1743552000,20180,13.142900883661449,20.63731902743649,0.0,0.0,0.60083041044242
10.138638471679654,17.678272144465268,22.117772293464377,1743465600,20179,13.144118362769552,20.69909028277552,0.0,0.0,0.5911479758287597
10.060303170074524,17.56405073116473,18.07719626807386,1743379200,20178,13.14627545951801,20.656096304836638,0.0,0.0,0.5800625342980006
